position,velocity,dt
7.65899,2.096807,10
7.679408,2.041806,10
7.699273,1.986454,10
7.71858,1.930748,10
7.737327,1.874684,10
7.75551,1.818254,10
7.773124,1.761449,10
7.790167,1.70426,10
7.806636,1.64695,10
7.82254,1.590365,10
7.837891,1.535068,10
7.852701,1.481028,10
7.866983,1.428217,10
7.880749,1.376609,10
7.894011,1.326176,10
7.90678,1.276896,10
7.919067,1.228742,10
7.930884,1.181694,10
7.942242,1.135729,10
7.95315,1.090828,10
7.96362,1.046971,10
7.973661,1.004141,10
7.983284,0.962321,10
7.992499,0.921497,10
8.001316,0.881652,10
8.009743,0.842775,10
8.017792,0.804853,10
8.025471,0.767875,10
8.032789,0.731829,10
8.039756,0.696707,10
8.046381,0.662501,10
8.052673,0.629201,10
8.058641,0.5968,10
8.064294,0.565292,10
8.069641,0.534672,10
8.07469,0.504932,10
8.079451,0.47607,10
8.083931,0.448079,10
8.088141,0.420956,10
8.092088,0.394697,10
8.095781,0.3693,10
8.099229,0.34476,10
8.102439,0.321076,10
8.105422,0.298246,10
8.108184,0.276266,10
8.110736,0.255135,10
8.113084,0.234852,10
8.115239,0.215415,10
8.117207,0.196822,10
8.118997,0.179073,10
8.120619,0.162166,10
8.12208,0.146101,10
8.123389,0.130877,10
8.124554,0.116493,10
8.125583,0.102948,10
8.126486,0.090242,10
8.127269,0.078375,10
8.127943,0.067346,10
8.128514,0.057154,10
8.128992,0.0478,10
8.129385,0.039283,10
8.129701,0.031603,10
8.129949,0.02476,10
8.130136,0.018754,10
8.130272,0.013584,10
8.130365,0.009251,10
8.130422,0.005755,10
8.130453,0.003095,10
8.130466,0.001271,10
8.130469,0.000284,10
8.130469,0,10
