position,velocity,dt
7.554379,1.793262,10
7.571742,1.736289,10
7.588531,1.678926,10
7.604749,1.621817,10
7.620407,1.565804,10
7.635518,1.511065,10
7.650093,1.45757,10
7.664146,1.405293,10
7.677688,1.354207,10
7.690731,1.304286,10
7.703286,1.255505,10
7.715365,1.207842,10
7.726977,1.161274,10
7.738135,1.11578,10
7.748849,1.071342,10
7.759128,1.027941,10
7.768984,0.985558,10
7.778425,0.944179,10
7.787463,0.903789,10
7.796107,0.864373,10
7.804366,0.825918,10
7.81225,0.788414,10
7.819769,0.751848,10
7.826931,0.716211,10
7.833746,0.681494,10
7.840223,0.647688,10
7.846371,0.614786,10
7.852198,0.58278,10
7.857715,0.551664,10
7.862929,0.521433,10
7.86785,0.492081,10
7.872486,0.463603,10
7.876846,0.435995,10
7.880939,0.409254,10
7.884773,0.383375,10
7.888356,0.358357,10
7.891698,0.334195,10
7.894807,0.310887,10
7.897691,0.288432,10
7.90036,0.266827,10
7.90282,0.24607,10
7.905082,0.22616,10
7.907153,0.207096,10
7.909042,0.188875,10
7.910757,0.171498,10
7.912306,0.154963,10
7.913699,0.139269,10
7.914943,0.124415,10
7.916047,0.110401,10
7.917019,0.097226,10
7.917868,0.08489,10
7.918602,0.073393,10
7.919229,0.062733,10
7.919759,0.052911,10
7.920198,0.043926,10
7.920556,0.035778,10
7.92084,0.028467,10
7.92106,0.021993,10
7.921224,0.016356,10
7.921339,0.011555,10
7.921415,0.007591,10
7.92146,0.004464,10
7.921482,0.002173,10
7.921489,0.000718,10
7.92149,0.0001,10
7.92149,0,10
