position,velocity,dt
8.51866,3.982505,10
8.558247,3.958751,10
8.597603,3.935546,10
8.636731,3.91278,10
8.675634,3.890345,10
8.714315,3.868138,10
8.752776,3.846055,10
8.791016,3.823995,10
8.829034,3.801857,10
8.86683,3.779539,10
8.904399,3.756937,10
8.941739,3.733945,10
8.978842,3.710315,10
9.015696,3.685459,10
9.052286,3.658942,10
9.088593,3.63067,10
9.124598,3.600546,10
9.160283,3.568471,10
9.195626,3.534342,10
9.230607,3.498056,10
9.265202,3.459509,10
9.299388,3.418596,10
9.33314,3.375218,10
9.366433,3.329279,10
9.39924,3.280692,10
9.431534,3.229387,10
9.463287,3.175311,10
9.494471,3.118441,10
9.525059,3.058788,10
9.555023,2.996412,10
9.584337,2.931432,10
9.612978,2.86404,10
9.640923,2.794516,10
9.668155,2.72324,10
9.694662,2.650707,10
9.720438,2.577532,10
9.745482,2.504453,10
9.769805,2.432323,10
9.793426,2.362092,10
9.816374,2.294771,10
9.838688,2.231388,10
9.860417,2.172927,10
9.88162,2.120265,10
9.902361,2.074102,10
9.92271,2.034906,10
9.942739,2.002872,10
9.962518,1.977906,10
9.982114,1.959628,10
10.001588,1.947413,10
10.020993,1.940438,10
10.04037,1.937746,10
10.059753,1.938319,10
10.079165,1.941131,10
10.098617,1.945206,10
10.118113,1.94965,10
10.13765,1.953683,10
10.157216,1.95664,10
10.176796,1.957981,10
10.196369,1.957282,10
10.215911,1.954221,10
10.235397,1.948571,10
10.254799,1.940179,10
10.274088,1.928957,10
10.293237,1.914869,10
10.312216,1.897916,10
10.330997,1.87813,10
10.349553,1.855566,10
10.367856,1.830293,10
10.38588,1.80239,10
10.403599,1.771945,10
10.42099,1.739045,10
10.438028,1.703781,10
10.45469,1.666241,10
10.470955,1.626513,10
10.486804,1.584924,10
10.502228,1.542398,10
10.517225,1.499631,10
10.531792,1.456722,10
10.545929,1.413763,10
10.559638,1.37084,10
10.572918,1.328028,10
10.585772,1.285396,10
10.598202,1.243009,10
10.610211,1.200924,10
10.621803,1.159193,10
10.632982,1.117865,10
10.643752,1.076983,10
10.654118,1.036587,10
10.664085,0.996713,10
10.673659,0.957396,10
10.682845,0.918664,10
10.691651,0.880546,10
10.700082,0.843067,10
10.708144,0.80625,10
10.715845,0.770117,10
10.723192,0.734687,10
10.730192,0.699978,10
10.736852,0.666007,10
10.74318,0.632788,10
10.749183,0.600335,10
10.75487,0.56866,10
10.760248,0.537776,10
10.765324,0.507694,10
10.770109,0.478422,10
10.774608,0.44997,10
10.778832,0.422346,10
10.782787,0.395558,10
10.786484,0.369612,10
10.789929,0.344515,10
10.793131,0.320273,10
10.7961,0.296891,10
10.798844,0.274374,10
10.801371,0.252725,10
10.803691,0.23195,10
10.805811,0.212052,10
10.807742,0.193034,10
10.809491,0.174899,10
10.811067,0.15765,10
10.81248,0.141288,10
10.813738,0.125817,10
10.814851,0.111238,10
10.815826,0.097553,10
10.816674,0.084762,10
10.817402,0.072869,10
10.818021,0.061872,10
10.818539,0.051774,10
10.818965,0.042575,10
10.819307,0.034276,10
10.819576,0.026877,10
10.81978,0.020379,10
10.819928,0.014782,10
10.820029,0.010087,10
10.820092,0.006292,10
10.820126,0.0034,10
10.82014,0.001409,10
10.820143,0.000319,10
10.820143,0,10
